Device_Name,Vendor,Firmware_Version,Software Component Package,Software Component Package Version,CVEs,Score,Severity,Source
camera,,,,,,,,
,avertx,,,,,,,
,,uImage_userland,,,,,,
,,,busybox,,,,,
,,,,1.19.3,,,,
,,,,,CVE-2016-2176,8.2,HIGH,NVD
,,,,,CVE-2016-7056,5.5,MEDIUM,NVD
,,,,,CVE-2020-7041,5.3,MEDIUM,NVD
,,,,,CVE-2020-7042,5.3,MEDIUM,NVD
,,,,,CVE-2020-7043,9.1,CRITICAL,NVD
,,,,,CVE-2021-4044,7.5,HIGH,NVD
,,,libexpat,,,,,
,,,,2.0.1,,,,
,,,,,CVE-2012-1147,4.3,MEDIUM,NVD
,,,,,CVE-2012-1148,5,MEDIUM,NVD
,,,,,CVE-2013-0340,6.8,MEDIUM,NVD
,,,point-to-point_protocol,,,,,
,,,,2.4.4,,,,
,,,,,CVE-2006-2194,7.2,HIGH,NVD
,,,,,CVE-2014-3158,7.5,HIGH,NVD
,,,,,CVE-2015-3310,4.3,MEDIUM,NVD
,,,,,CVE-2020-8597,9.8,CRITICAL,NVD
,,,ntp,,,,,
,,,,4.2.4p7,,,,
,,,,,CVE-2014-9294,7.5,HIGH,NVD
,,,,,CVE-2014-9295,7.5,HIGH,NVD
,,,,,CVE-2014-9296,5,MEDIUM,NVD
,,,,,CVE-2014-9751,6.8,MEDIUM,NVD
,,,,,CVE-2015-5194,7.5,HIGH,NVD
,,,,,CVE-2015-5195,7.5,HIGH,NVD
,,,,,CVE-2015-5219,7.5,HIGH,NVD
,,,,,CVE-2015-5300,7.5,HIGH,NVD
,,,,,CVE-2015-7691,7.5,HIGH,NVD
,,,,,CVE-2015-7692,7.5,HIGH,NVD
,,,,,CVE-2015-7701,7.5,HIGH,NVD
,,,,,CVE-2015-7702,6.5,MEDIUM,NVD
,,,,,CVE-2015-7703,7.5,HIGH,NVD
,,,,,CVE-2015-7704,7.5,HIGH,NVD
,,,,,CVE-2015-7705,9.8,CRITICAL,NVD
,,,,,CVE-2015-7849,8.8,HIGH,NVD
,,,,,CVE-2015-7850,6.5,MEDIUM,NVD
,,,,,CVE-2015-7851,6.5,MEDIUM,NVD
,,,,,CVE-2015-7852,5.9,MEDIUM,NVD
,,,,,CVE-2015-7853,9.8,CRITICAL,NVD
,,,,,CVE-2015-7854,8.8,HIGH,NVD
,,,,,CVE-2015-7855,6.5,MEDIUM,NVD
,,,,,CVE-2015-7973,6.5,MEDIUM,NVD
,,,,,CVE-2015-7975,6.2,MEDIUM,NVD
,,,,,CVE-2015-7976,4.3,MEDIUM,NVD
,,,,,CVE-2015-7977,5.9,MEDIUM,NVD
,,,,,CVE-2015-7978,7.5,HIGH,NVD
,,,,,CVE-2015-7979,7.5,HIGH,NVD
,,,,,CVE-2015-8138,5.3,MEDIUM,NVD
,,,,,CVE-2015-8139,5.3,MEDIUM,NVD
,,,,,CVE-2015-8140,4.8,MEDIUM,NVD
,,,,,CVE-2015-8158,5.9,MEDIUM,NVD
,,,,,CVE-2016-1547,5.3,MEDIUM,NVD
,,,,,CVE-2016-2516,5.3,MEDIUM,NVD
,,,,,CVE-2016-2517,5.3,MEDIUM,NVD
,,,,,CVE-2016-2518,5.3,MEDIUM,NVD
,,,,,CVE-2016-2519,5.9,MEDIUM,NVD
,,,,,CVE-2016-4953,7.5,HIGH,NVD
,,,,,CVE-2016-4954,7.5,HIGH,NVD
,,,,,CVE-2016-4955,5.9,MEDIUM,NVD
,,,,,CVE-2016-4956,5.3,MEDIUM,NVD
,,,,,CVE-2016-7429,3.7,LOW,NVD
,,,,,CVE-2016-7433,5.3,MEDIUM,NVD
,,,,,CVE-2016-9310,6.5,MEDIUM,NVD
,,,,,CVE-2016-9311,5.9,MEDIUM,NVD
,,,,,CVE-2016-9312,7.5,HIGH,NVD
,,,,,CVE-2017-6458,8.8,HIGH,NVD
,,,,,CVE-2018-7170,5.3,MEDIUM,NVD
,,,,,CVE-2019-8936,7.5,HIGH,NVD
,,,,,CVE-2020-13817,7.4,HIGH,NVD
,,,dnsmasq,,,,,
,,,,2.59,,,,
,,,,,CVE-2012-3411,5,MEDIUM,NVD
,,,,,CVE-2013-0198,5,MEDIUM,NVD
,,,,,CVE-2015-3294,6.4,MEDIUM,NVD
,,,,,CVE-2015-8899,7.5,HIGH,NVD
,,,,,CVE-2017-13704,7.5,HIGH,NVD
,,,,,CVE-2017-14491,9.8,CRITICAL,NVD
,,,,,CVE-2017-14492,9.8,CRITICAL,NVD
,,,,,CVE-2017-14493,9.8,CRITICAL,NVD
,,,,,CVE-2017-14494,5.9,MEDIUM,NVD
,,,,,CVE-2017-14495,7.5,HIGH,NVD
,,,,,CVE-2017-14496,7.5,HIGH,NVD
,,,,,CVE-2017-15107,7.5,HIGH,NVD
,,,,,CVE-2019-14513,7.5,HIGH,NVD
,,,,,CVE-2019-14834,3.7,LOW,NVD
,,,,,CVE-2020-25681,8.1,HIGH,NVD
,,,,,CVE-2020-25682,8.1,HIGH,NVD
,,,,,CVE-2020-25683,5.9,MEDIUM,NVD
,,,,,CVE-2020-25684,3.7,LOW,NVD
,,,,,CVE-2020-25685,3.7,LOW,NVD
,,,,,CVE-2020-25686,3.7,LOW,NVD
,,,,,CVE-2020-25687,5.9,MEDIUM,NVD
,,,,,CVE-2021-3448,4,MEDIUM,NVD
,,,,,CVE-2022-0934,7.5,HIGH,NVD
,,,wpa_supplicant,,,,,
,,,,0.7,,,,
,,,,,CVE-2015-8041,5,MEDIUM,NVD
,,,,,CVE-2016-4476,7.5,HIGH,NVD
,,,,,CVE-2019-11555,5.9,MEDIUM,NVD
,,,,,CVE-2019-16275,6.5,MEDIUM,NVD
,,,,,CVE-2019-9494,5.9,MEDIUM,NVD
,,,,,CVE-2019-9495,3.7,LOW,NVD
,,,,,CVE-2019-9496,7.5,HIGH,NVD
,,,,,CVE-2019-9497,8.1,HIGH,NVD
,,,,,CVE-2019-9498,8.1,HIGH,NVD
,,,,,CVE-2019-9499,8.1,HIGH,NVD
,,,,,CVE-2022-23303,9.8,CRITICAL,NVD
