Package_Name,Version,Count,Number of CVEs,List of CVEs,CVE_high,CVE_med,CVE_low
,2.4,35,91,"['CVE-2006-7254', 'CVE-2009-4880', 'CVE-2009-4881', 'CVE-2009-5029', 'CVE-2009-5155', 'CVE-2010-0296', 'CVE-2010-0830', 'CVE-2010-3192', 'CVE-2010-3847', 'CVE-2010-3856', 'CVE-2010-4756', 'CVE-2011-1071', 'CVE-2011-1089', 'CVE-2011-1095', 'CVE-2011-1658', 'CVE-2011-1659', 'CVE-2011-2702', 'CVE-2011-4609', 'CVE-2011-5320', 'CVE-2012-4412', 'CVE-2012-4424', 'CVE-2012-6656', 'CVE-2013-1914', 'CVE-2013-2207', 'CVE-2013-4122', 'CVE-2013-4237', 'CVE-2013-4332', 'CVE-2013-4458', 'CVE-2013-4788', 'CVE-2013-7423', 'CVE-2013-7424', 'CVE-2014-0475', 'CVE-2014-4043', 'CVE-2014-5119', 'CVE-2014-6040', 'CVE-2014-8121', 'CVE-2014-9402', 'CVE-2014-9761', 'CVE-2014-9984', 'CVE-2015-0235', 'CVE-2015-1472', 'CVE-2015-1473', 'CVE-2015-1781', 'CVE-2015-5180', 'CVE-2015-5277', 'CVE-2015-8776', 'CVE-2015-8777', 'CVE-2015-8778', 'CVE-2015-8779', 'CVE-2015-8982', 'CVE-2015-8983', 'CVE-2015-8984', 'CVE-2015-8985', 'CVE-2016-10228', 'CVE-2016-10739', 'CVE-2016-1234', 'CVE-2016-2856', 'CVE-2016-3075', 'CVE-2016-3706', 'CVE-2016-5417', 'CVE-2016-6323', 'CVE-2017-1000366', 'CVE-2017-12132', 'CVE-2017-12133', 'CVE-2017-15670', 'CVE-2017-15671', 'CVE-2017-15804', 'CVE-2018-1000001', 'CVE-2018-11236', 'CVE-2018-11237', 'CVE-2018-19591', 'CVE-2018-20796', 'CVE-2018-6485', 'CVE-2019-19126', 'CVE-2019-25013', 'CVE-2019-6488', 'CVE-2019-7309', 'CVE-2019-9169', 'CVE-2019-9192', 'CVE-2020-10029', 'CVE-2020-1751', 'CVE-2020-1752', 'CVE-2020-27618', 'CVE-2020-29573', 'CVE-2020-6096', 'CVE-2021-3326', 'CVE-2021-35942', 'CVE-2021-38604', 'CVE-2021-3999', 'CVE-2022-23218', 'CVE-2022-23219']",33,41,17
,2.13,1,81,"['CVE-2009-5029', 'CVE-2009-5155', 'CVE-2010-3192', 'CVE-2010-4756', 'CVE-2011-1089', 'CVE-2011-1658', 'CVE-2011-1659', 'CVE-2011-4609', 'CVE-2011-5320', 'CVE-2012-4412', 'CVE-2012-4424', 'CVE-2012-6656', 'CVE-2013-1914', 'CVE-2013-2207', 'CVE-2013-4237', 'CVE-2013-4332', 'CVE-2013-4458', 'CVE-2013-4788', 'CVE-2013-7423', 'CVE-2013-7424', 'CVE-2014-0475', 'CVE-2014-4043', 'CVE-2014-5119', 'CVE-2014-6040', 'CVE-2014-8121', 'CVE-2014-9402', 'CVE-2014-9761', 'CVE-2014-9984', 'CVE-2015-0235', 'CVE-2015-1472', 'CVE-2015-1473', 'CVE-2015-1781', 'CVE-2015-5180', 'CVE-2015-5277', 'CVE-2015-7547', 'CVE-2015-8776', 'CVE-2015-8777', 'CVE-2015-8778', 'CVE-2015-8779', 'CVE-2015-8982', 'CVE-2015-8983', 'CVE-2015-8984', 'CVE-2015-8985', 'CVE-2016-10228', 'CVE-2016-10739', 'CVE-2016-1234', 'CVE-2016-2856', 'CVE-2016-3075', 'CVE-2016-3706', 'CVE-2016-5417', 'CVE-2016-6323', 'CVE-2017-1000366', 'CVE-2017-12132', 'CVE-2017-12133', 'CVE-2017-15670', 'CVE-2017-15671', 'CVE-2017-15804', 'CVE-2018-1000001', 'CVE-2018-11236', 'CVE-2018-11237', 'CVE-2018-19591', 'CVE-2018-20796', 'CVE-2018-6485', 'CVE-2019-19126', 'CVE-2019-25013', 'CVE-2019-6488', 'CVE-2019-7309', 'CVE-2019-9169', 'CVE-2019-9192', 'CVE-2020-10029', 'CVE-2020-1751', 'CVE-2020-1752', 'CVE-2020-27618', 'CVE-2020-29573', 'CVE-2020-6096', 'CVE-2021-3326', 'CVE-2021-35942', 'CVE-2021-38604', 'CVE-2021-3999', 'CVE-2022-23218', 'CVE-2022-23219']",32,32,17
,2.8,3,90,"['CVE-2009-4880', 'CVE-2009-4881', 'CVE-2009-5029', 'CVE-2009-5155', 'CVE-2010-0296', 'CVE-2010-0830', 'CVE-2010-3192', 'CVE-2010-3847', 'CVE-2010-3856', 'CVE-2010-4756', 'CVE-2011-1071', 'CVE-2011-1089', 'CVE-2011-1095', 'CVE-2011-1658', 'CVE-2011-1659', 'CVE-2011-2702', 'CVE-2011-4609', 'CVE-2011-5320', 'CVE-2012-4412', 'CVE-2012-4424', 'CVE-2012-6656', 'CVE-2013-1914', 'CVE-2013-2207', 'CVE-2013-4122', 'CVE-2013-4237', 'CVE-2013-4332', 'CVE-2013-4458', 'CVE-2013-4788', 'CVE-2013-7423', 'CVE-2013-7424', 'CVE-2014-0475', 'CVE-2014-4043', 'CVE-2014-5119', 'CVE-2014-6040', 'CVE-2014-8121', 'CVE-2014-9402', 'CVE-2014-9761', 'CVE-2014-9984', 'CVE-2015-0235', 'CVE-2015-1472', 'CVE-2015-1473', 'CVE-2015-1781', 'CVE-2015-5180', 'CVE-2015-5277', 'CVE-2015-8776', 'CVE-2015-8777', 'CVE-2015-8778', 'CVE-2015-8779', 'CVE-2015-8982', 'CVE-2015-8983', 'CVE-2015-8984', 'CVE-2015-8985', 'CVE-2016-10228', 'CVE-2016-10739', 'CVE-2016-1234', 'CVE-2016-2856', 'CVE-2016-3075', 'CVE-2016-3706', 'CVE-2016-5417', 'CVE-2016-6323', 'CVE-2017-1000366', 'CVE-2017-12132', 'CVE-2017-12133', 'CVE-2017-15670', 'CVE-2017-15671', 'CVE-2017-15804', 'CVE-2018-1000001', 'CVE-2018-11236', 'CVE-2018-11237', 'CVE-2018-19591', 'CVE-2018-20796', 'CVE-2018-6485', 'CVE-2019-19126', 'CVE-2019-25013', 'CVE-2019-6488', 'CVE-2019-7309', 'CVE-2019-9169', 'CVE-2019-9192', 'CVE-2020-10029', 'CVE-2020-1751', 'CVE-2020-1752', 'CVE-2020-27618', 'CVE-2020-29573', 'CVE-2020-6096', 'CVE-2021-3326', 'CVE-2021-35942', 'CVE-2021-38604', 'CVE-2021-3999', 'CVE-2022-23218', 'CVE-2022-23219']",33,40,17
,2.29,14,20,"['CVE-2010-4756', 'CVE-2013-4412', 'CVE-2018-20796', 'CVE-2019-19126', 'CVE-2019-25013', 'CVE-2019-7309', 'CVE-2019-9169', 'CVE-2019-9192', 'CVE-2020-10029', 'CVE-2020-1751', 'CVE-2020-1752', 'CVE-2020-27618', 'CVE-2020-6096', 'CVE-2021-27645', 'CVE-2021-3326', 'CVE-2021-35942', 'CVE-2021-38604', 'CVE-2021-3999', 'CVE-2022-23218', 'CVE-2022-23219']",9,5,6
,2.30,6,17,"['CVE-2010-4756', 'CVE-2013-4412', 'CVE-2019-19126', 'CVE-2019-25013', 'CVE-2020-10029', 'CVE-2020-1751', 'CVE-2020-1752', 'CVE-2020-27618', 'CVE-2020-29562', 'CVE-2020-6096', 'CVE-2021-27645', 'CVE-2021-3326', 'CVE-2021-35942', 'CVE-2021-38604', 'CVE-2021-3999', 'CVE-2022-23218', 'CVE-2022-23219']",7,5,5
,2.10.1,2,91,"['CVE-2009-4880', 'CVE-2009-5029', 'CVE-2009-5155', 'CVE-2010-0296', 'CVE-2010-0830', 'CVE-2010-3192', 'CVE-2010-3847', 'CVE-2010-3856', 'CVE-2010-4051', 'CVE-2010-4052', 'CVE-2010-4756', 'CVE-2011-1071', 'CVE-2011-1089', 'CVE-2011-1095', 'CVE-2011-1658', 'CVE-2011-1659', 'CVE-2011-2702', 'CVE-2011-4609', 'CVE-2011-5320', 'CVE-2012-4412', 'CVE-2012-4424', 'CVE-2012-6656', 'CVE-2013-1914', 'CVE-2013-2207', 'CVE-2013-4237', 'CVE-2013-4332', 'CVE-2013-4458', 'CVE-2013-4788', 'CVE-2013-7423', 'CVE-2013-7424', 'CVE-2014-0475', 'CVE-2014-4043', 'CVE-2014-5119', 'CVE-2014-6040', 'CVE-2014-8121', 'CVE-2014-9402', 'CVE-2014-9761', 'CVE-2014-9984', 'CVE-2015-0235', 'CVE-2015-1472', 'CVE-2015-1473', 'CVE-2015-1781', 'CVE-2015-5180', 'CVE-2015-5277', 'CVE-2015-7547', 'CVE-2015-8776', 'CVE-2015-8777', 'CVE-2015-8778', 'CVE-2015-8779', 'CVE-2015-8982', 'CVE-2015-8983', 'CVE-2015-8984', 'CVE-2015-8985', 'CVE-2016-10228', 'CVE-2016-10739', 'CVE-2016-1234', 'CVE-2016-2856', 'CVE-2016-3075', 'CVE-2016-3706', 'CVE-2016-5417', 'CVE-2016-6323', 'CVE-2017-1000366', 'CVE-2017-12132', 'CVE-2017-12133', 'CVE-2017-15670', 'CVE-2017-15671', 'CVE-2017-15804', 'CVE-2018-1000001', 'CVE-2018-11236', 'CVE-2018-11237', 'CVE-2018-19591', 'CVE-2018-20796', 'CVE-2018-6485', 'CVE-2019-19126', 'CVE-2019-25013', 'CVE-2019-6488', 'CVE-2019-7309', 'CVE-2019-9169', 'CVE-2019-9192', 'CVE-2020-10029', 'CVE-2020-1751', 'CVE-2020-1752', 'CVE-2020-27618', 'CVE-2020-29573', 'CVE-2020-6096', 'CVE-2021-3326', 'CVE-2021-35942', 'CVE-2021-38604', 'CVE-2021-3999', 'CVE-2022-23218', 'CVE-2022-23219']",34,40,17
,2.17,3,76,"['CVE-2009-5155', 'CVE-2010-3192', 'CVE-2010-4756', 'CVE-2012-4412', 'CVE-2012-4424', 'CVE-2013-0242', 'CVE-2013-1914', 'CVE-2013-2207', 'CVE-2013-4122', 'CVE-2013-4237', 'CVE-2013-4332', 'CVE-2013-4412', 'CVE-2013-4458', 'CVE-2013-4788', 'CVE-2013-7423', 'CVE-2014-0475', 'CVE-2014-4043', 'CVE-2014-5119', 'CVE-2014-6040', 'CVE-2014-8121', 'CVE-2014-9402', 'CVE-2014-9761', 'CVE-2014-9984', 'CVE-2015-0235', 'CVE-2015-1472', 'CVE-2015-1473', 'CVE-2015-1781', 'CVE-2015-5180', 'CVE-2015-5277', 'CVE-2015-7547', 'CVE-2015-8776', 'CVE-2015-8777', 'CVE-2015-8778', 'CVE-2015-8779', 'CVE-2015-8982', 'CVE-2015-8983', 'CVE-2015-8984', 'CVE-2015-8985', 'CVE-2016-10228', 'CVE-2016-10739', 'CVE-2016-1234', 'CVE-2016-2856', 'CVE-2016-3075', 'CVE-2016-3706', 'CVE-2016-5417', 'CVE-2016-6323', 'CVE-2017-1000366', 'CVE-2017-12132', 'CVE-2017-12133', 'CVE-2017-15670', 'CVE-2017-15671', 'CVE-2017-15804', 'CVE-2018-1000001', 'CVE-2018-11236', 'CVE-2018-11237', 'CVE-2018-19591', 'CVE-2018-20796', 'CVE-2018-6485', 'CVE-2019-19126', 'CVE-2019-25013', 'CVE-2019-6488', 'CVE-2019-7309', 'CVE-2019-9169', 'CVE-2019-9192', 'CVE-2020-10029', 'CVE-2020-1751', 'CVE-2020-1752', 'CVE-2020-27618', 'CVE-2020-29573', 'CVE-2020-6096', 'CVE-2021-3326', 'CVE-2021-35942', 'CVE-2021-38604', 'CVE-2021-3999', 'CVE-2022-23218', 'CVE-2022-23219']",33,28,15
,2.26,11,35,"['CVE-2009-5155', 'CVE-2010-4756', 'CVE-2013-4412', 'CVE-2015-8985', 'CVE-2016-10739', 'CVE-2017-15670', 'CVE-2017-15671', 'CVE-2017-15804', 'CVE-2017-16997', 'CVE-2017-17426', 'CVE-2017-18269', 'CVE-2018-1000001', 'CVE-2018-11236', 'CVE-2018-11237', 'CVE-2018-19591', 'CVE-2018-20796', 'CVE-2018-6485', 'CVE-2018-6551', 'CVE-2019-19126', 'CVE-2019-25013', 'CVE-2019-6488', 'CVE-2019-7309', 'CVE-2019-9169', 'CVE-2019-9192', 'CVE-2020-10029', 'CVE-2020-1751', 'CVE-2020-1752', 'CVE-2020-27618', 'CVE-2020-6096', 'CVE-2021-3326', 'CVE-2021-35942', 'CVE-2021-38604', 'CVE-2021-3999', 'CVE-2022-23218', 'CVE-2022-23219']",16,8,11
,2.22,1,51,"['CVE-2009-5155', 'CVE-2010-3192', 'CVE-2010-4756', 'CVE-2013-4412', 'CVE-2014-9761', 'CVE-2015-5180', 'CVE-2015-7547', 'CVE-2015-8776', 'CVE-2015-8777', 'CVE-2015-8778', 'CVE-2015-8779', 'CVE-2015-8985', 'CVE-2016-10228', 'CVE-2016-10739', 'CVE-2016-1234', 'CVE-2016-3075', 'CVE-2016-3706', 'CVE-2016-5417', 'CVE-2016-6323', 'CVE-2017-1000366', 'CVE-2017-12132', 'CVE-2017-12133', 'CVE-2017-15670', 'CVE-2017-15671', 'CVE-2017-15804', 'CVE-2017-16997', 'CVE-2017-18269', 'CVE-2018-1000001', 'CVE-2018-11236', 'CVE-2018-11237', 'CVE-2018-19591', 'CVE-2018-20796', 'CVE-2018-6485', 'CVE-2019-19126', 'CVE-2019-25013', 'CVE-2019-6488', 'CVE-2019-7309', 'CVE-2019-9169', 'CVE-2019-9192', 'CVE-2020-10029', 'CVE-2020-1751', 'CVE-2020-1752', 'CVE-2020-27618', 'CVE-2020-29573', 'CVE-2020-6096', 'CVE-2021-3326', 'CVE-2021-35942', 'CVE-2021-38604', 'CVE-2021-3999', 'CVE-2022-23218', 'CVE-2022-23219']",24,13,14
openssl,,,,,,,
